algo.asNode(nodeId).Airport_name,centrality
Los Angeles International Airport,433991.67350768414
Charles de Gaulle International Airport,375729.218582031
London Heathrow Airport,300522.1891390158
Ted Stevens Anchorage International Airport,300090.1495105485
Chicago O'Hare International Airport,289014.6138928124
Beijing Capital International Airport,286844.1225753692
Dubai International Airport,268755.65549131273
Frankfurt am Main Airport,267487.07161792147
Guarulhos - Governador André Franco Montoro International Airport,242113.26825887852
Amsterdam Airport Schiphol,237011.67387563546
Lester B. Pearson International Airport,222536.1531068849
Singapore Changi Airport,219819.65638675904
Hartsfield Jackson Atlanta International Airport,200983.2504605354
Atatürk International Airport,198209.98852994546
Sydney Kingsford Smith International Airport,191745.14266292856
Seattle Tacoma International Airport,182582.67414124197
Brisbane International Airport,178785.7521814302
Domodedovo International Airport,168725.66564200656
Dallas Fort Worth International Airport,166741.00077269127
Narita International Airport,163434.87162831382
John F Kennedy International Airport,161746.90594997784
Miami International Airport,156332.5193658061
Incheon International Airport,142960.5959503453
Hong Kong International Airport,139103.53932599956
Montreal / Pierre Elliott Trudeau International Airport,138504.52934924245
Suvarnabhumi Airport,132458.41245166396
Denver International Airport,128482.11799328554
OR Tambo International Airport,126478.32792934285
El Dorado International Airport,125685.4014707366
Adolfo Suárez Madrid–Barajas Airport,123346.95304706671
Shanghai Pudong International Airport,123150.53778635038
Ninoy Aquino International Airport,101249.79151507361
Stockholm-Arlanda Airport,99565.36149858969
Soekarno-Hatta International Airport,93782.89390586824
Vancouver International Airport,92168.20045761907
Tokyo Haneda International Airport,89041.54795605193
Indira Gandhi International Airport,88130.45047325417
King Abdulaziz International Airport,86706.9455381605
Oslo Lufthavn,85070.02068087913
George Bush Intercontinental Houston Airport,84351.72594401981
Kuala Lumpur International Airport,83954.47119623968
Licenciado Benito Juarez International Airport,83789.30880993031
Munich Airport,83490.93082444879
Faa'a International Airport,83476.0987202498
Jorge Newbery Airpark,81959.57814414756
Comodoro Arturo Merino Benítez International Airport,78908.5739846764
Auckland International Airport,77930.76118512516
Sheremetyevo International Airport,77031.01483613318
Guangzhou Baiyun International Airport,76786.37371504199
Copenhagen Kastrup Airport,74491.81384949251
Humberto Delgado Airport (Lisbon Portela Airport),74213.71243443574
Jorge Chávez International Airport,72211.18073214727
Port Moresby Jacksons International Airport,69928.64909603153
Bethel Airport,68583.07469305984
Winnipeg / James Armstrong Richardson International Airport,68102.48153561282
Thunder Bay Airport,64873.979682838086
Calgary International Airport,61440.21690910705
Fairbanks International Airport,61302.74150837395
Yellowknife Airport,61080.42704642337
Barcelona International Airport,60766.22247370148
Helsinki Vantaa Airport,59872.681803032305
San Francisco International Airport,59105.49006374893
Newark Liberty International Airport,58549.8537946083
Leonardo da Vinci–Fiumicino Airport,58542.11560425897
Presidente Juscelino Kubistschek International Airport,58207.28502268272
Eleftherios Venizelos International Airport,57912.06690406719
Abu Dhabi International Airport,57764.49949579195
Simón Bolívar International Airport,55672.48703201778
Hamad International Airport,55523.268458357226
Jomo Kenyatta International Airport,54934.19209398352
Chhatrapati Shivaji International Airport,54727.44865614
Washington Dulles International Airport,54096.42113469622
Paris-Orly Airport,53861.4788936132
Juan Santamaria International Airport,53744.34034208198
Bauerfield International Airport,53587.55332253261
Minneapolis-St Paul International/Wold-Chamberlain Airport,53496.14053802106
General Edward Lawrence Logan International Airport,53050.80744525842
Brussels Airport,52833.85883611386
Addis Ababa Bole International Airport,52500.586036930516
McCarran International Airport,51147.38557120883
Ndjili International Airport,50029.407678130556
Houari Boumediene Airport,49528.849827140984
