page,score
Hartsfield Jackson Atlanta International Airport,14.974539518356323
Chicago O'Hare International Airport,10.355554389953614
Dallas Fort Worth International Airport,10.037482577562333
Los Angeles International Airport,9.599749916791916
Denver International Airport,9.352134227752686
Domodedovo International Airport,9.007628804445268
Singapore Changi Airport,8.351713371276855
Charles de Gaulle International Airport,8.178086805343629
Sydney Kingsford Smith International Airport,8.036082953214645
Beijing Capital International Airport,7.9902363359928135
London Heathrow Airport,7.723099777102471
Atatürk International Airport,7.70882059931755
El Dorado International Airport,7.327044597268105
Frankfurt am Main Airport,7.292994928359985
Miami International Airport,7.167617464065551
John F Kennedy International Airport,7.09105532169342
Dubai International Airport,6.86693605184555
Amsterdam Airport Schiphol,6.825792670249938
Suvarnabhumi Airport,6.352070873975753
Lester B. Pearson International Airport,6.247388213872909
Ninoy Aquino International Airport,6.2076045006513585
Shanghai Pudong International Airport,6.192023158073425
Licenciado Benito Juarez International Airport,6.168897953629493
Incheon International Airport,6.135617566108704
Brisbane International Airport,6.100713247060776
OR Tambo International Airport,6.0303289651870715
Indira Gandhi International Airport,5.944412434101104
Hong Kong International Airport,5.795191401243209
Jorge Newbery Airpark,5.709443986415862
Charlotte Douglas International Airport,5.644909617304801
Barcelona International Airport,5.608623439073563
Tokyo Haneda International Airport,5.449531397223473
Auckland International Airport,5.365143954753875
Adolfo Suárez Madrid–Barajas Airport,5.343918597698211
Guarulhos - Governador André Franco Montoro International Airport,5.34303425848484
Kuala Lumpur International Airport,5.339572542905808
Ted Stevens Anchorage International Airport,5.335473728179933
Chhatrapati Shivaji International Airport,5.327576130628586
George Bush Intercontinental Houston Airport,5.265200299024581
Stockholm-Arlanda Airport,5.17089513540268
Minneapolis-St Paul International/Wold-Chamberlain Airport,5.001245588064194
Narita International Airport,4.9744303762912745
Munich Airport,4.928765895962714
Philadelphia International Airport,4.847224652767181
Guangzhou Baiyun International Airport,4.844501009583474
McCarran International Airport,4.838839718699455
Soekarno-Hatta International Airport,4.781505101919174
Vancouver International Airport,4.778287485241889
London Gatwick Airport,4.74609768986702
Brussels Airport,4.724178338050842
Phoenix Sky Harbor International Airport,4.607934063673019
Paris-Orly Airport,4.604877355694771
Leonardo da Vinci–Fiumicino Airport,4.5848469078540806
Jorge Chávez International Airport,4.578694126009941
San Francisco International Airport,4.529482814669609
Melbourne International Airport,4.445941105484962
Chengdu Shuangliu International Airport,4.407163172960281
General Edward Lawrence Logan International Airport,4.379474210739136
Eleftherios Venizelos International Airport,4.3621089398860935
Pulkovo Airport,4.3551110327243805
Seattle Tacoma International Airport,4.354528245329856
Detroit Metropolitan Wayne County Airport,4.321111622452736
King Abdulaziz International Airport,4.246547564864159
Vienna International Airport,4.215554603934288
Montreal / Pierre Elliott Trudeau International Airport,4.17593843638897
Helsinki Vantaa Airport,4.126270288228988
Manchester Airport,4.090383747220039
Abu Dhabi International Airport,4.0523127794265745
Sheremetyevo International Airport,3.9932817816734314
Orlando International Airport,3.9796201467514036
Oslo Lufthavn,3.948646387457848
Palma De Mallorca Airport,3.9345542609691613
Kunming Changshui International Airport,3.930050945281982
Newark Liberty International Airport,3.9251928299665453
Jomo Kenyatta International Airport,3.920906761288643
Taiwan Taoyuan International Airport,3.8948413252830507
Düsseldorf Airport,3.877997437119484
Simón Bolívar International Airport,3.8297206982970238
Fort Lauderdale Hollywood International Airport,3.8002480864524832
Washington Dulles International Airport,3.7903399914503093
Salt Lake City International Airport,3.768374814093113
Addis Ababa Bole International Airport,3.7649487912654873
Faa'a International Airport,3.7471753716468807
Mehrabad International Airport,3.698487216234207
Humberto Delgado Airport (Lisbon Portela Airport),3.6645070075988766
Presidente Juscelino Kubistschek International Airport,3.6492752969264983
Perth International Airport,3.5872837513685223
Copenhagen Kastrup Airport,3.586991065740585
Xi'an Xianyang International Airport,3.540912154316902
Don Mueang International Airport,3.5195466354489326
Chongqing Jiangbei International Airport,3.424058645963669
Calgary International Airport,3.3804973021149642
King Khaled International Airport,3.3581521704792974
Zürich Airport,3.320434710383415
Port Moresby Jacksons International Airport,3.3084510654211043
London Stansted Airport,3.27353803217411
Bethel Airport,3.267337676882744
Hamad International Airport,3.255246776342392
Sabiha Gökçen International Airport,3.2370915278792385
Ronald Reagan Washington National Airport,3.2029746025800705
Viracopos International Airport,3.1351677983999253
Ürümqi Diwopu International Airport,3.0772238716483113
Juan Santamaria International Airport,3.05079884827137
Ngurah Rai (Bali) International Airport,2.9880281925201415
Dublin Airport,2.922990375757217
Hangzhou Xiaoshan International Airport,2.8806102871894836
Berlin-Tegel Airport,2.867572781443596
Tan Son Nhat International Airport,2.8609063431620596
Shenzhen Bao'an International Airport,2.8554385632276538
Comodoro Arturo Merino Benítez International Airport,2.8467632487416266
Cairns International Airport,2.8380277961492535
Honiara International Airport,2.8343938231468204
Cairo International Airport,2.820433777570724
